event_time,date,time,symbol,direction,option_symbol,entry_time,entry_premium,current_premium,pnl_pct,pnl_rs,lot_size,sl_premium,t1_premium,t2_premium,event_type,hold_minutes,notes
2026-05-29 12:30,2026-05-29,12:30,MOTHERSON,CALL,MOTHERSON26JUN142CE,2026-05-28 09:15,5.76,5.8,0.7,246.0,6150,3.7,8.6,10.4,UPDATE,1635,OPEN (+0.7%)
2026-05-29 12:30,2026-05-29,12:30,MANKIND,CALL,MANKIND26JUN2420CE,2026-05-28 09:15,94.8,91.9,-3.1,-652.0,225,61.6,142.2,170.6,UPDATE,1635,OPEN (-3.1%)
2026-05-29 12:30,2026-05-29,12:30,HDFCBANK,PUT,HDFCBANK26JUN760PE,2026-05-28 09:15,24.15,24.8,2.7,358.0,550,15.7,36.2,43.5,UPDATE,1635,OPEN (+2.7%)
2026-05-29 12:30,2026-05-29,12:30,TCS,PUT,TCS26JUN2280PE,2026-05-28 09:15,63.05,49.5,-21.5,-2371.0,175,41.0,94.6,113.5,UPDATE,1635,OPEN (-21.5%)
2026-05-29 12:30,2026-05-29,12:30,HCLTECH,PUT,HCLTECH26JUN1170PE,2026-05-28 09:15,40.2,29.95,-25.5,-3588.0,350,26.1,60.3,72.4,UPDATE,1635,OPEN (-25.5%)
2026-05-29 12:30,2026-05-29,12:30,MUTHOOTFIN,PUT,MUTHOOTFIN26JUN3350PE,2026-05-29 09:15,116.85,122.75,5.0,1623.0,275,76.0,175.3,210.3,UPDATE,195,OPEN (+5.0%)
2026-05-29 12:30,2026-05-29,12:30,MAXHEALTH,PUT,MAXHEALTH26JUN1000PE,2026-05-29 09:15,31.2,39.5,26.6,4358.0,525,20.3,46.8,56.2,UPDATE,195,OPEN (+26.6%)
2026-05-29 12:30,2026-05-29,12:30,HINDUNILVR,PUT,HINDUNILVR26JUN2180PE,2026-05-29 09:15,44.75,53.0,18.4,2475.0,300,29.1,67.1,80.5,UPDATE,195,OPEN (+18.4%)
2026-05-29 12:30,2026-05-29,12:30,NESTLEIND,CALL,NESTLEIND26JUN1420CE,2026-05-29 09:15,42.3,47.1,11.3,2400.0,500,27.5,63.4,76.1,UPDATE,195,OPEN (+11.3%)
2026-05-29 12:30,2026-05-29,12:30,HAVELLS,PUT,HAVELLS26JUN1210PE,2026-05-29 09:15,30.9,34.05,10.2,1575.0,500,20.1,46.3,55.6,UPDATE,195,OPEN (+10.2%)
2026-05-29 12:30,2026-05-29,12:30,CONCOR,PUT,CONCOR26JUN475PE,2026-05-29 09:15,15.1,14.35,-5.0,-938.0,1250,9.8,22.6,27.2,UPDATE,195,OPEN (-5.0%)
2026-05-29 12:30,2026-05-29,12:30,TITAN,PUT,TITAN26JUN4150PE,2026-05-29 09:15,90.05,94.6,5.1,796.0,175,58.5,135.1,162.1,UPDATE,195,OPEN (+5.1%)
2026-05-29 12:30,2026-05-29,12:30,DMART,PUT,DMART26JUN4150PE,2026-05-29 09:15,103.05,103.65,0.6,90.0,150,67.0,154.6,185.5,UPDATE,195,OPEN (+0.6%)
2026-05-29 12:30,2026-05-29,12:30,BAJAJFINSV,CALL,BAJAJFINSV26JUN1800CE,2026-05-29 09:15,55.85,51.35,-8.1,-1125.0,250,36.3,83.8,100.5,UPDATE,195,OPEN (-8.1%)
2026-05-29 12:30,2026-05-29,12:30,PETRONET,CALL,PETRONET26JUN277.5CE,2026-05-29 09:15,9.85,9.1,-7.6,-1425.0,1900,6.4,14.8,17.7,UPDATE,195,OPEN (-7.6%)
2026-05-29 12:30,2026-05-29,12:30,NTPC,CALL,NTPC26JUN397.5CE,2026-05-29 09:15,9.35,7.9,-15.5,-2175.0,1500,6.1,14.0,16.8,UPDATE,195,OPEN (-15.5%)
2026-05-29 12:30,2026-05-29,12:30,JUBLFOOD,PUT,JUBLFOOD26JUN430PE,2026-05-29 09:15,14.3,11.65,-18.5,-3313.0,1250,9.3,21.5,25.7,UPDATE,195,OPEN (-18.5%)
2026-05-29 12:30,2026-05-29,12:30,ICICIGI,CALL,ICICIGI26JUN1820CE,2026-05-29 09:15,65.65,56.75,-13.6,-2893.0,325,42.7,98.5,118.2,UPDATE,195,OPEN (-13.6%)
2026-05-29 12:30,2026-05-29,12:30,BSE,CALL,BSE26JUN4200CE,2026-05-29 09:15,173.0,179.15,3.6,2306.0,375,112.5,259.5,311.4,UPDATE,195,OPEN (+3.6%)
2026-05-29 12:30,2026-05-29,12:30,MAZDOCK,PUT,MAZDOCK26JUN2480PE,2026-05-29 09:15,91.15,79.25,-13.1,-2380.0,200,59.2,136.7,164.1,UPDATE,195,OPEN (-13.1%)
2026-05-29 12:30,2026-05-29,12:30,ONGC,PUT,ONGC26JUN272.5PE,2026-05-29 09:15,7.0,8.75,25.0,3938.0,2250,4.5,10.5,12.6,UPDATE,195,OPEN (+25.0%)
